code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300498,温氏股份,农业综合,广东,33.93,35.73,53.14,5140922.5,2031208.75,1574807.25,618248.81,1.16,0.546,6.31,3.91,20151102,2074005.38,3.9,4.13,-28.2,15.08,7.1,49616.0
601088,中国神华,煤炭开采,北京,8.67,164.91,198.9,59231200.0,16400499.0,30247802.0,7475200.0,3.76,1.155,15.49,1.29,20071009,18797600.0,9.45,5.69,-5.5,41.42,18.04,197022.0
600029,南方航空,空运,广东,17.48,70.23,122.67,22911800.0,1941600.0,16477600.0,1511500.0,1.23,0.21,5.11,1.19,20030725,2335800.0,1.9,12.0,-22.8,11.01,3.16,205456.0
300575,中旗股份,农药化肥,江苏,15.22,0.34,0.73,207096.63,106819.13,41228.75,47191.71,6.43,1.819,15.27,2.42,20161220,51508.96,7.02,30.0,67.78,21.2,11.31,8867.0
600679,上海凤凰,文教休闲,上海,121.51,1.91,4.02,182322.88,64958.88,12992.82,76253.36,1.9,0.066,3.36,3.2,19931008,10607.94,0.26,-43.44,-58.32,17.41,4.34,46506.0
600617,国新能源,供气供热,山西,349.65,8.98,10.85,2801038.5,575591.38,1076590.13,93729.57,0.86,0.012,3.46,1.56,19921013,153853.97,1.42,2.79,98.93,17.38,0.18,38939.0
002674,兴业科技,纺织,福建,29.49,2.4,3.02,267637.72,199772.3,52533.73,135749.06,4.49,0.183,7.46,0.96,20120507,49893.78,1.65,-8.27,59.53,10.7,4.34,10116.0
000651,格力电器,家用电器,广东,8.94,59.7,60.16,21906676.0,17153112.0,1715247.63,10388.05,0.02,2.129,13.02,2.92,19961118,6854627.0,11.39,31.5,35.48,30.03,14.08,459959.0
000021,深科技,电脑设备,深圳,23.08,14.69,14.71,1488243.38,943114.19,256000.84,67823.25,0.46,0.11699999999999999,3.99,1.35,19940202,233464.66,1.59,15.0,-44.13,3.96,2.08,110762.0
300712,永福股份,建筑施工,福建,26.37,0.57,1.4,131429.27,104145.0,21098.0,50692.28,3.62,0.39899999999999997,6.51,2.15,20171031,24620.85,1.76,18.0,-2.7,30.38,11.85,18096.0
601798,*ST蓝科,化工机械,甘肃,0.0,3.55,3.55,312392.69,174761.52,91413.56,99695.71,2.81,-0.257,4.64,0.93,20110622,24831.72,0.7,3.65,-2390.98,10.36,-25.31,13980.0
002696,百洋股份,渔业,广西,19.72,2.1,3.95,369396.94,151571.41,69130.15,133131.88,3.37,0.32899999999999996,5.69,1.52,20120905,49472.98,1.25,37.24,158.9,24.34,5.97,9086.0
